Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,rate,SAP DocEntry
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B620,MARUBENI CORPORATION PRECIOUS METALS DEP,30212,CJ13,FP3,100011496,R&D COMMISSION,,SERVICE,,,,2,USD,"-3,916.66","-216,591.30",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B540,MARUBENI CORPORATION PRINTING & PUBLICAT,30212,CJ14,FP4,100011497,R&D COMMISSION,,SERVICE,,,,2,USD,"-7,583.34","-419,358.70",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B7LK,MARUBENI CORPORATION *,30212,CL11,AGR1,100011484,,,SERVICE,,,,2,USD,"-7,083.34","-391,708.70",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B7LK,MARUBENI CORPORATION *,30212,CL11,AGR1,100011486,R&D COMMISSION,,SERVICE,,,,2,USD,"-7,083.34","-391,708.70",,5,0.0,,55.3,
SUCCESS,H9,20231201,20231201,,MONTH/FY23,B2R0,MARUBENI CORPORATION HEALTHCARE & MEDICA,30212,CK01,MEDI LINX,100010599,SERVICE FEE MONTHLY,,SERVICE,,,,2,USD,"-6,833.34","-378,567.04",,5,0.0,,55.4,
SUCCESS,H1,20231211,20231211,20240113.0,PO2305088363,PI069,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100011514,IPI SALES FOR DEC#01,,IBIDEN,,,,2,USD,"-7,687.90","-425,140.87",,5,0.0,,55.3,
SUCCESS,H1,20231212,20231212,20231229.0,R&D_DEC 2023,B3G0,MARUBENI CORPORATION ENERGY & CHEMICAL P,30212,MC11,MAC3,100011524,R&D B3G0_DEC 2023,,R AND D,,,,2,USD,"-7,500.00","-414,750.00",,5,0.0,,55.3,
SUCCESS,H1,20231212,20231212,20240329.0,R&D_DEC 2023,MJ038,MARUBENI PROTECHS CORPORATION,30212,MC11,MAC3,100011525,R&D MJ038_DEC 2023,,R AND D,,,,2,USD,"-2,208.00","-122,102.40",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20231229.0,BS641,1P029,"SITHE PHILIPPINES HOLDINGS, INC.",30212,MA11,MAC1,100011516,SERV FEE DEC 2023,,SERVICE,,,,2,USD,"-8,916.63","-493,089.64",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20240112.0,23-Dec,4Q926,TEAM ENERGY CORPORATION -,30212,MA11,MAC1,100011520,DEC SERV FEE TEAM,,SERVICE,,,,2,USD,"-6,666.65","-368,665.75",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20231229.0,23-Dec,4Q958,SAN ROQUE POWER CORP -,30212,MA11,MAC1,100011518,SERV FEE DEC 2023,,SERVICE,,,,2,USD,"-3,583.33","-198,158.15",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20231229.0,23-Dec,BM10,MARUBENI CORPORATION *,30212,MA11,MAC1,100011515,R&D DEC 2023,,SERVICE,,,,2,USD,"-31,000.00","-1,714,300.00",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20240112.0,23-Dec,PT105,TEAM SUAL CORPORATION -,30212,MA11,MAC1,100011519,DEC SERV FEE SUAL,,SERVICE,,,,2,USD,"-10,000.00","-553,000.00",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,,3Q FY2023,MW350,MARUBENI CORPORATION -,30212,HB02,ADMI,100011513,SERVICE FEE 3Q,,SRVC FEE,,,,2,PHP,"-55,300.00","-55,300.00",,5,0.0,,,
SUCCESS,H1,20231212,20231212,20231228.0,SERVICE FEE,B3Y0,MARUBENI CORPORATION ENVIRONMENT INFRAST,30212,MB11,MAC2,100011555,SERVICE FEE DEC2023,,DECEMBER,,,,2,USD,"-6,416.67","-354,841.85",,5,0.0,,55.3,
SUCCESS,H1,20231212,20231212,20231229.0,R&D_DEC 2023,B3G0,MARUBENI CORPORATION ENERGY & CHEMICAL P,30212,MC11,MAC3,100011524,R&D B3G0_DEC 2023,,R AND D,,,,2,USD,"-7,500.00","-414,750.00",,5,0.0,,55.3,
SUCCESS,H1,20231212,20231212,20240329.0,R&D_DEC 2023,MJ038,MARUBENI PROTECHS CORPORATION,30212,MC11,MAC3,100011525,R&D MJ038_DEC 2023,,R AND D,,,,2,USD,"-2,208.00","-122,102.40",,5,0.0,,55.3,
SUCCESS,H1,20231213,20231213,,10-12M/2023,B550,MARUBENI CORPORATION PETROLEUM DEPT.-2,30212,CD12,PET2,100011559,R&D-10M-12M/2023,,SERVICE,,,,2,USD,"-55,333.34","-3,079,300.37",,5,0.0,,55.65,
SUCCESS,H1,20231213,20231213,,10-12M/2023,B6G0,MARUBENI CORPORATION LNG PROJECT DEPT.,30212,CD14,PET4,100011560,R&D-10M-12M/2023,,SERVICE,,,,2,USD,"-1,666.68","-92,750.74",,5,0.0,,55.65,
SUCCESS,H1,20231214,20231214,,MIGS_LICFEE,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011608,migs Lic_fee3Q,,100011608,,,,2,PHP,"-40,685.91","-40,685.91",,5,0.0,,,
SUCCESS,H1,20231214,20231214,,MIGS_LICFEE,4Q608,MARUBENI ASIAN POWER PHILIPPINES CORP,33323,MA11,MAC1,100011607,migs Lic_fee3Q,,MAPPC,,,,2,PHP,"-10,171.48","-10,171.48",,5,0.0,,,
SUCCESS,H1,20231215,20231215,20231229.0,PEAS CLIENTS,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33323,CF16,FOOD2B,100011632,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,-827.24,"-46,366.96",,5,0.0,,56.05,
