Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,SAP Doc Entry,SAP Obj Type,rate
CHECK,QO,2023-12-11,2023-12-11,2023-12-11,,BD2-C,BANCO DE ORO AYALA - LOCSIN BRANCH -,10131,HA01,HQ,100011512,,NECD123Z0062,100011512,nan,,M186J,1,USD,57974.77,3206004.78,"10710, 10710",13,55.3
CASH,QO,2023-12-11,2023-12-11,2023-12-11,,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",33331,CD12,PET2,100011512,,NECD123Z0062,100011512,nan,,,2,USD,0.0,78389.93,"10710, 10710",13,55.3
SUCCESS,QO,2023-12-11,2023-12-11,2023-12-11,,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100011512,,,100011512,100011512,20231211.0,,3,USD,-57974.77,-3284394.71,"10710, 10710",13,55.3
CHECK,QO,2023-12-13,2023-12-12,2023-12-12,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100011557,,NECD123Z0063,100011557,nan,,M186J,1,USD,95083.66,5258126.4,"10711, 10711",13,55.3
CASH,QO,2023-12-13,2023-12-12,2023-12-12,,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",33331,CD12,PET2,100011557,,NECD123Z0063,100011557,nan,,,2,USD,0.0,9508.36,"10711, 10711",13,55.3
SUCCESS,QO,2023-12-13,2023-12-12,2023-12-12,,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100011557,,,100011557,100011557,20231213.0,,3,USD,-95083.66,-5267634.76,"10711, 10711",13,55.3
CHECK,QO,2023-12-19,2023-12-19,2023-12-19,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011660,BS000000135,NEHB023Z0002,100011660,nan,,4Q04P,1,PHP,7230.79,7230.79,"10685, 10685",13,1
SUCCESS,QO,2023-12-19,2023-12-19,2023-12-19,OCT BILL,4Q04P-C,MCNK JV CORPORATION,14112,MB11,MAC2,100011660,BS000000135,NEHB023Z0002,MCNK CP,100011661,20231219.0,,2,PHP,-7230.79,-7230.79,"10685, 10685",13,1
CHECK,QO,2023-12-19,2023-12-19,2023-12-19,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011662,BS000000112,NEHB023Z0003,100011662,nan,,4Q04P,1,PHP,25451.58,25451.58,"10662, 10662",13,1
SUCCESS,QO,2023-12-19,2023-12-19,2023-12-19,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100011662,BS000000112,,100011662,100011662,20231219.0,,2,PHP,-25914.34,-25914.34,"10662, 10662",13,1
CHECK,QO,2023-12-19,2023-12-19,2023-12-19,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011663,BS000000121,NEHB023Z0004,100011663,nan,,4Q04P,1,PHP,27177.51,27177.51,"10671, 10671",13,1
SUCCESS,QO,2023-12-19,2023-12-19,2023-12-19,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100011663,BS000000121,,100011663,100011663,20231219.0,,2,PHP,-27671.65,-27671.65,"10671, 10671",13,1
CHECK,QO,2023-12-21,2023-12-21,2023-12-21,-,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011796,OCS SEPT 2023 BS122,NCHB033Z0018,715632,nan,,MW350,1,PHP,2046.0,2046.0,"10672, 10672",13,1
SUCCESS,QO,2023-12-21,2023-12-21,2023-12-21,,MW350-C,MARUBENI CORPORATION -,14112,HB02,ADMI,100011796,OCS SEPT 2023 BS122,,100011796,100011796,20231221.0,,2,PHP,-2083.2,-2083.2,"10672, 10672",13,1
CHECK,QO,2023-12-21,2023-12-21,2023-12-21,-,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011797,OCS AUG 2023 BS118,NCHB033Z0019,715631,nan,,MW350,1,PHP,1364.0,1364.0,"10668, 10668",13,1
SUCCESS,QO,2023-12-21,2023-12-21,2023-12-21,,MW350-C,MARUBENI CORPORATION -,14112,HB02,ADMI,100011797,OCS AUG 2023 BS118,,100011797,100011797,20231221.0,,2,PHP,-1388.8,-1388.8,"10668, 10668",13,1
CHECK,QO,2023-12-21,2023-12-21,2023-12-21,-,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011798,SEC FEE OCT BS116,NCHB033Z0020,715630,nan,,MW350,1,PHP,5489.62,5489.62,"10666, 10666",13,1
SUCCESS,QO,2023-12-21,2023-12-21,2023-12-21,,MW350-C,MARUBENI CORPORATION -,14112,HB02,ADMI,100011798,SEC FEE OCT BS116,,100011798,100011798,20231221.0,,2,PHP,-5589.44,-5589.44,"10666, 10666",13,1
CHECK,QO,2023-12-21,2023-12-21,2023-12-21,-,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011799,SERVICE FEE 3Q BS231,NCHB033Z0021,715636,nan,,MW350,1,PHP,60830.0,60830.0,"10777, 10777",13,1
SUCCESS,QO,2023-12-21,2023-12-21,2023-12-21,,MW350-C,MARUBENI CORPORATION -,11310,HB02,ADMI,100011799,SERVICE FEE 3Q BS231,,100011799,100011799,20231221.0,,2,PHP,-61936.0,-61936.0,"10777, 10777",13,1
CHECK,QO,2023-12-21,2023-12-21,2023-12-21,-,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011800,RENTAL DEC2023 BS205,NCHB033Z0022,715635,nan,,MW350,1,PHP,62396.94,62396.94,"10705, 10705",13,1
SUCCESS,QO,2023-12-21,2023-12-21,2023-12-21,,MW350-C,MARUBENI CORPORATION -,11310,HB02,ADMI,100011800,RENTAL DEC2023 BS205,,100011800,100011800,20231221.0,,2,PHP,-65312.69,-65312.69,"10705, 10705",13,1
