Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,WT Liable,Quantity,Quantity Unit,WT Code 1,WT Code 2,WT Amount,GRPO Doc. Entry
SUCCESS,RE,2023-10-12,2023-10-12,2023-10-12,15802-4/7/8,PW049-V,WARBUCKS INDUSTRIES CORPORATION SUBIC BA,41240,CD12,PET2,5190000073,,,CD2310P1,100008794,,PW049,2,PHP,"10,968,749.98","10,968,749.98",DOME10,IVAT-E,No,210,KL,,,0.00,587
SUCCESS,RE,2023-10-12,2023-10-12,2023-10-12,15802-4/7/8,PW049-V,WARBUCKS INDUSTRIES CORPORATION SUBIC BA,41240,CD12,PET2,5190000074,,,CD2310P1,100008794,,PW049,2,PHP,"10,968,749.98","10,968,749.98",DOME10,IVAT-E,No,210,KL,,,0.00,587
SUCCESS,RE,2023-10-12,2023-10-12,2023-10-12,15802-4/7/8,PW049-V,WARBUCKS INDUSTRIES CORPORATION SUBIC BA,41240,CD12,PET2,5190000075,VAT,,CD2310P1,100008794,,PW049,2,PHP,"10,968,749.98","10,968,749.98",DOME10,IVAT-E,No,210,KL,,,0.00,587
SUCCESS,RE,2023-10-12,2023-10-12,2023-10-12,15802-4/7/8,PW049-V,WARBUCKS INDUSTRIES CORPORATION SUBIC BA,41240,CD12,PET2,5190000076,,,CD2310P2,100008794,,PW049,2,PHP,"10,968,749.98","10,968,749.98",DOME10,IVAT-N,No,210,KL,,,0.00,591
